"Stock Code","Description","Unit"
"AUBG000279","Eucalyptus Propolis 600mg/mL","KG"
"AUBG000285","Soy Protein Powder Vanilla","KG"
"AUBG000286","Propolis Powder Mix 1:1","KG"
"AUBG000287","Colostrum 12mg IgG Tablets","TABS"
"AUBG000288","Goat's Milk 200mg Tablets","TABS"
"AUBG000294","Propolis 500mg/mL Tincture","KG"
"AUBG000299","Kangaroo 2000mg HS Capsules","CAPS"
"AUBG000301","Placenta 4000mg Hard Shell","CAPS"
"AUBG000303","Kangaroo 2,500mg Hard Shell","CAPS"
"AUBG000306","J&B Soy Isoflavones Hard Shell","CAPS"
"AUBG000308","ABL Colostrum Milk Powder","KG"
"AUBG000309","Baby Sheep 3000mg Hard Shell","CAPS"
"AUBG000312","Placenta 5000mg/mL","KG"
"AUBG000316","Soy & Egg Protein Powder","KG"
"AUBG000317","Eucalyptus Propolis 400mg","KG"
"AUBG000318","Procol Hard Shell Capsules","CAPS"
"AUBG000320","J&B Anserine","CAPS"
"AUBG000337","Cassia 500mg","CAPS"
"AUBG000338","Abalone 500mg Hard Shell","CAPS"
"AUBG000339","Goat's Milk Tablets","TABS"
"AUBG000340","Soya Complex Nutrition","CAPS"
"AUBG000341","ABL / Opal Propolis 500mg","CAPS"
"AUBG000342","Aurinda Protein Powder","KG"
"AUBG000343","Colostrum 60mg IgG Tablets","TABS"
"AUBG000346","J & B Placenta 3,000mg","CAPS"
"AUBG000347","Colostrum Milk Powder","KG"
"AUBG000348","Grape Seed 13,000mg Tablets","TABS"
"AUBG000349","Zen Green Powder (Non-pharm)","KG"
"AUBG000351","E-MIU-BO Emu Liniment (Pharm)","KG"
"AUBG000352","Bee Pollen 500mg Tablets","TABS"
"AUBG000356","Linmed Herbal Anti-stress","CAPS"
"AUBG000357","Primal Maca 500mg Hard Shell","CAPS"
"AUBG000358","Bee Pollen 450mg","CAPS"
"AUBG000359","Propolis 500mg & Aloe Vera","CAPS"
"AUBG000362","Bio Nutrix 1,000mg","CAPS"
"AUBG000364","RBK Royal Jelly 500mg (7%)","CAPS"
"AUBG000366","Bee Man Placenta Liquid","KG"
"AUBG000367","Garlic & Propolis Hard Shell","CAPS"
"AUBG000370","Placenta 5,000mg","CAPS"
"AUBG000373","Baby Sheep 5000mg","CAPS"
"AUBG000375","Colostrum 45mg IgG Tablets","TABS"
"AUBG000376","Colostrums 45mg IgG tablet","TABS"
"AUBG000400","Colostrum 10mg + 25mg Ascorbic","KG"
"AUBG000401","Shark Cartilage 450mg +","KG"
"AUBG000409","Colostrum 45mg IgG Plus","TABS"
"AUBG000410","Spirulina 400mg Tablets","TABS"
"AUBG000412","Concord Vita-Cordy Hard Shell","CAPS"
"AUBG000414","Abalone Plus Spirulina HS","CAPS"
"AUBG000415","Concord Sunchih Premium GPSP","CAPS"
"AUBG000416","Glucosamine Plus Hard Shell","CAPS"
"AUBG000419","Concord Sunchih GPSP","CAPS"
"AUBG000424","Concord Sunchih Bee Plus","CAPS"
"AUBG000425","Vaporiser Cleaner Tablets","TABS"
"AUBG000429","Aust Bee Product Propolis","TABS"
"AUBG000430","Marine Collagen Hard Shell","CAPS"
"AUBG000431","Spirulina 500mg Tablets","TABS"
"AUBG000432","Astragrace Green Lipped Mussel","CAPS"
"AUBG000433","Spirulina 450mg Hard Shell","CAPS"
"AUBG000434","Opal Health Appetite","CAPS"
"AUBG000435","Opal Health Detox Hard Shell","CAPS"
"AUBG000436","Glucosamine Sulphate Complex","CAPS"
"AUBG000437","Spirulina 425mg Hard Shell","CAPS"
"AUBG000438","Maxbal Soundsleep","CAPS"
"AUBG000439","Bee Vita- 3 plus HS Capsules","CAPS"
"AUBG000440","Green Lipped Mussel","CAPS"
"AUBG000441","A&G Ganoderma Lucidum","CAPS"
"AUBG000442","Marine Collagen Hard Shell","CAPS"
"AUBG000443","Cordyceps 400mg","CAPS"
"AUBG000444","Royal Jelly Hard Shell","CAPS"
"AUBG000445","Valerian Plus Hops Hard Shell","CAPS"
"AUBG000447","Baby Sheep 5000mg Hard Shell","CAPS"
"AUBG000449","Propolis 200mg in Polysorbate","KG"
"AUBG000500","Concord Royal Jelly","TABS"
"AUBG000502","Propolis 500mg mL in","KG"
"AUBG000504","Graminex Magnus Prime Hard","CAPS"
"AUBG000505","A&G Bilberry 1000mg Tablets","TABS"
"AUBG000508","Feel Good ARTR-EZE","CAPS"
"AUBG000510","Colostrum 25mg IgG","TABS"
"AUBG000512","Kangaroo 3000mg HS Capsules","CAPS"
"AUBG000513","Standard Milk Powder with","KG"
"AUBG000515","Colostrum 25mg IgG Tablets","TABS"
"AUBG000516","Revita Joint Repair Plus","CAPS"
"AUBG000517","ABL Baby Sheep 7000mg","CAPS"
"AUBG000518","ABL Kangaroo 5000mg & Baby","CAPS"
"AUBG000519","Goats Milk Tablet (Blackberry)","KG"
"AUBG000520","Male Power Hard Shell Capsules","CAPS"
"AUBG000521","A & G Lycopene HS Capsules","CAPS"
"AUBG000522","Spirulina 400mg & Green Tea","CAPS"
"AUBG000523","Royal Jelly 500mg (6%) HS Caps","CAPS"
"AUBG000524","Harmex Glucosamine Mega Plus","CAPS"
"AUBG000525","Royal Jelly 500mg (6%) HS Caps","CAPS"
"AUBG000526","Propolis 350mg & Ganoderma","CAPS"
"AUBG000527","Goats Milk with 10%","KG"
"AUBG000528","Harmex Co-Enzyme Q-10 Plus","CAPS"
"AUBG000529","Goats Milk 200mg Tablets","TABS"
"AUBG000530","Baby Sheep Placenta 1000mg","CAPS"
"AUBG000531","Concord PSP Hard Shell","CAPS"
"AUBG000533","Concord Sunchih Bee Plus","CAPS"
"AUBG000535","Concord CD4 HS Caps (Pharm)","CAPS"
"AUBG000536","Allife CD4 Plus+ Hard Shell","CAPS"
"AUBG000537","Royal Jelly 500mg (6%) HS Caps","CAPS"
"AUBG000538","Opal Health","CAPS"
"AUBG000540","Colostrum 10mg IgG Tablet","TABS"
"AUBG000543","Omega 3 1000mg + Vit E Soft","CAPS"
"AUBG000544","ABL Royal Jelly & Sheep","CAPS"
"AUBG000545","Solutions 4 Health Oil of Wild","KG"
"AUBG000546","Royal Jelly 1000mg (1.1%)","CAPS"
"AUBG000547","Concord/Allife Spirulina 450mg","CAPS"
"AUBG000548","Gelatine Premix (Clear)","KG"
"AUBG000549","Royal Jelly 500mg (6%) HS Caps","CAPS"
"AUBG000551","Nirvana Stevia 360mg Tablets","TABS"
"AUBG000552","Omega 3 (18/12) 1000mg SG","CAPS"
"AUBG000553","Concord/Allife Pine Pollen","CAPS"
"AUBG000555","Maximum Balance Cordyceps","CAPS"
"AUBG000556","Concord/Allife Chitosan 450mg","CAPS"
"AUBG000558","Baby Sheep 3000mg Soft Gel","CAPS"
"AUBG000559","Opal Health Agaricus Blazei","CAPS"
"AUBG000560","Royal Jelly 1000mg (0.5%)","CAPS"
"AUBG000561","Baby Sheep 5000mg HS","CAPS"
"AUBG000562","Colostrum 50mg IgG","TABS"
"AUBG000563","Maxbal Goldenage-3s","CAPS"
"AUBG000565","Concord (Allife) Seabuckthorn","CAPS"
"AUBG000566","Baby Sheep 5000mg HS","CAPS"
"AUBG000567","Colostrum 50mg IgG","TABS"
"AUBG000569","Royal Jelly 500mg (6%)","CAPS"
"AUBG000570","Concord / Allife Bio L4","CAPS"
"AUBG000571","Omega 3 1000mg + Vit E 5mg","CAPS"
"AUBG000574","RBK Royal Jelly 500mg (7%)","CAPS"
"AUBG000575","Opal Health Cordyceps","CAPS"
"AUBG000576","Baby Sheep 12000mg Soft Gel","CAPS"
"AUBG000577","Concord / Allife Cordy Plus","CAPS"
"AUBG000578","Olivenol Livin Youthful Hard","CAPS"
"AUBG000579","Opal Health Ganoderma 375mg","CAPS"
"AUBG000580","Colostrum 50mg IgG Tablets","TABS"
"AUBG000581","Opal Health Glucosamine Plus","CAPS"
"AUBG000582","Nature's Way Premium (Bilis)","CAPS"
"AUBG000583","Grape Seed 12000mg HS Capsules","CAPS"
"AUBG000584","Miracle Life Glucosamine &","TABS"
"AUBG000585","Colostrum 45mg IgG Tablets","TABS"
"AUBG000586","Grape Seed 12000mg HS","CAPS"
"AUBG000587","Bronx Wild Bull Tribulus","TABS"
"AUBG000588","Bronx Wild Bull Tribulus","TABS"
"AUBG000589","Lior Red Grape Seed 12000mg","CAPS"
"AUBG000590","Nature's Essence Charantia","CAPS"
"AUBG000591","Bilberry 3000mg Soft Gel","CAPS"
"AUBG000592","Sheep Placenta 5000mg","CAPS"
"AUBG000593","Omega 3 (18/12) 1000mg","CAPS"
"AUBG000596","Southrom OPC+ Hard Shell","CAPS"
"AUBG000597","Silymarin 13g Hard Shell","CAPS"
"AUBG000598","Nu-Vita Hard Shell Capsules","CAPS"
"AUBG000601","LifeSprings Calmax Powder","KG"
"AUBG000602","ABL Collagen Hard Shell","CAPS"
"AUBG000604","Opal Health Cordyceps","CAPS"
"AUBG000605","Liver Tonic Hard Shell","CAPS"
"AUBG000606","Glucosamine & Chondroitin","CAPS"
"AUBG000608","Osteopro Hard Shell Capsules","CAPS"
"AUBG000609","Colostrum 100mg IgG Tablets","TABS"
"AUBG000610","Colostrum 100mg IgG Tablets","TABS"
"AUBG000611","A&G Glucosamine & Chondroitin","KG"
"AUBG000612","Abalone & Cordyceps Hard Shell","CAPS"
"AUBG000613","Omega 3 1000mg + Vit E 100mg","CAPS"
"AUBG000614","Kangacal Hard Shell Capsules","CAPS"
"AUBG000615","Bronx Wild Bull Thermogenic","CAPS"
"AUBG000616","Gelatine Premix (Clear) (AU)","KG"
"AUBG000618","Bronx Wild Bull Stack Powder","KG"
"AUBG000619","Omega 3 1000mg Soft Gel","CAPS"
"AUBG000620","Squalene 1000mg Soft Gel","CAPS"
"AUBG000621","Evening Primrose Oil 1000mg","CAPS"
"AUBG000622","Squalene 1000mg + Vit E","CAPS"
"AUBG000623","A&G Saw Palmetto Tablets","TABS"
"AUBG000624","Bee Pollen & Spirulina Hard","CAPS"
"AUBG000625","Royal Jelly 1000mg (1.1%)","CAPS"
"AUBG000626","SASC Shark Cartilage 500mg","CAPS"
"AUBG000627","A&G Saw Palmetto Tablets","TABS"
"AUBG000628","Omega 3 (35/25) 1000mg + Vit E","CAPS"
"AUBG000629","Green Care Sheep Placenta","CAPS"
"AUBG000630","Gelatine Pre-mix (Reddish","KG"
"AUBG000631","Lecithin 1200mg Soft Gel","CAPS"
"AUBG000632","Flaxseed Oil 1200mg Soft Gel","CAPS"
"AUBG000633","Propolis Plus Filamentous","CAPS"
"AUBG000634","Royal Jelly Plus Milk Thistle","CAPS"
"AUBG000635","Lecithin 1200mg Soft Gel","CAPS"
"AUBG000636","Flaxseed Oil 1200mg Soft Gel","CAPS"
"AUBG000639","Omega 3 1000mg + Vit E","CAPS"
"AUBG000640","GB OPC Plus Hard Shell","CAPS"
"AUBG000641","Pharmamark Eye Q Soft Gel","CAPS"
"AUBG000642","Omega 3 1100mg + Vit E","CAPS"
"AUBG000643","Cod Liver Oil 275mg Soft Gel","CAPS"
"AUBG000644","Proudex Royal Jelly Soft Gel","CAPS"
"AUBG000645","Colostrum (30mg IgG) Milk","KG"
"AUBG000646","Cod Liver Oil 500mg Soft Gel","CAPS"
"AUBG000647","Omega 3 1100mg + Vit E SG","CAPS"
"AUBG000648","Homart Royal Jelly (1.1%)","CAPS"
"AUBG000649","Cod Liver Oil 275mg Soft Gel","CAPS"
"AUBG000650","Baby Sheep 7000mg HS","CAPS"
"AUBG000651","Propolis 500mg Soft Gel","CAPS"
"AUBG000652","Cod Liver Oil 500mg Soft Gel","CAPS"
